3
1000 2
500 500
0.07780090186435466 0.03890045093217733
1 0 0 0 1 0 0 0 1 
T T T 
0.1626653892314264 0.5855710715375166 0.8246778138680365 0.03890045093217733
0.5046282475284429 0.4191419784220828 0.4063055211166876 0.03890045093217733
0.2490259058915315 0.7641828877278429 0.3523085839519891 0.03890045093217733
0.9741028457799241 0.08573603655406675 0.8329558435486184 0.03890045093217733
0.1322249558835518 0.4514472467153444 0.4967805053845702 0.03890045093217733
0.102283955196559 0.2142902140327563 0.8747528451673717 0.03890045093217733
0.4363299454059765 0.3596049998622664 0.1674014362509839 0.03890045093217733
0.603087746119192 0.9245452472075715 0.04003667095725833 0.03890045093217733
0.5779866170295986 0.8502544835051962 0.6314486100686652 0.03890045093217733
0.3957926635651051 0.9753792061771293 0.4453113937812705 0.03890045093217733
0.8960555188842396 0.06109503604436307 0.01669613014718976 0.03890045093217733
0.4957767383727085 0.9700234116984008 0.05182741548295296 0.03890045093217733
0.6720602551889853 0.6294707165210917 0.4037719836038419 0.03890045093217733
0.01326697598548235 0.9793696631901488 0.9312814273090532 0.03890045093217733
0.3455772231365007 0.5156363087213494 0.6219739185436801 0.03890045093217733
0.5236515147133951 0.07825144775078346 0.5071807889673209 0.03890045093217733
0.154729061426521 0.5297244765553162 0.2051504062265216 0.03890045093217733
0.05581377521402058 0.102690753744537 0.3847263555063983 0.03890045093217733
0.127039824094764 0.3099649762648463 0.516980045029417 0.03890045093217733
0.1031304177976882 0.7987377442444533 0.6882863840793166 0.03890045093217733
0.4405946946148027 0.1285942313846737 0.5050646197736185 0.03890045093217733
0.1158714670332636 0.7179583010735664 0.6667254187654873 0.03890045093217733
0.6450245576294852 0.7755365556812942 0.4986485743131343 0.03890045093217733
0.612797487997767 0.5905321187873499 0.8659326351471228 0.03890045093217733
0.9274625634024608 0.09788891663559932 0.1611676473073283 0.03890045093217733
0.7364408771982017 0.3645379503231213 0.9870599807281168 0.03890045093217733
0.6474727217257752 0.1632499039448878 0.4663063230164337 0.03890045093217733
0.1618662312202698 0.9008889514515039 0.7851424090004098 0.03890045093217733
0.6373090328895225 0.4703123911788624 0.9503544119479044 0.03890045093217733
0.3298950371916977 0.4507682151330994 0.1932021167031965 0.03890045093217733
0.7231858695018866 0.6011098725457406 0.1360987519920859 0.03890045093217733
0.002013561548945081 0.5498234099853163 0.2105191423078388 0.03890045093217733
0.2716432322942448 0.2020069125469836 0.9401332202659326 0.03890045093217733
0.1864924925739002 0.607389257700185 0.3571601473747298 0.03890045093217733
0.8986298104426085 0.4162611451415996 0.9516489459071921 0.03890045093217733
0.04084841369777498 0.8007064030564306 0.2341674152284871 0.03890045093217733
0.9255665327918112 0.9140764142462499 0.7671129874200567 0.03890045093217733
0.7477714251643137 0.8277440476110901 0.9989366434032357 0.03890045093217733
0.2716219747416455 0.03433514945227504 0.804293672972073 0.03890045093217733
0.5870185963279699 0.04915638187770975 0.2264646335111622 0.03890045093217733
0.295892617723082 0.07815852878888711 0.6569856205141197 0.03890045093217733
0.7154046781153861 0.07666806838607698 0.3569417537991417 0.03890045093217733
0.6407972019893025 0.7278847061435991 0.7854903687625201 0.03890045093217733
0.8885140352317139 0.7532443709787093 0.2600802734200017 0.03890045093217733
0.2912042528207271 0.1019358639750909 0.2483308802267778 0.03890045093217733
0.8319275256838009 0.3200841359962829 0.130116020260755 0.03890045093217733
0.8877481471390287 0.6316630682607944 0.9127107952896591 0.03890045093217733
0.3066104594331799 0.4355490769956091 0.3786088171787536 0.03890045093217733
0.6745420768309645 0.2231729784002179 0.2969518510700156 0.03890045093217733
0.9039518249491304 0.5729923495017356 0.2085521087030842 0.03890045093217733
0.6373425916351046 0.6410473191685747 0.007878729293064235 0.03890045093217733
0.4320058293636803 0.9183603279791503 0.3664446031514733 0.03890045093217733
0.223075491749363 0.7317513530415742 0.5217706638160845 0.03890045093217733
0.9914180608464221 0.175491949257198 0.6880309996800847 0.03890045093217733
0.528488636710018 0.4373785672253446 0.05376943840433994 0.03890045093217733
0.5776961965675224 0.276799900994769 0.7461472805251661 0.03890045093217733
0.8009443585430787 0.4647790823692514 0.1877629796503769 0.03890045093217733
0.4072788773132529 0.36034977479609 0.6213944937846251 0.03890045093217733
0.04842521028529742 0.3051082001436594 0.6623981301632661 0.03890045093217733
0.2406653786738902 0.3887047926497498 0.959561794031907 0.03890045093217733
0.1946561351375704 0.1406375376123185 0.5541748980119392 0.03890045093217733
0.4460653895526325 0.6128549723726407 0.1594759414073114 0.03890045093217733
0.3795106471728262 0.6280169642197004 0.5995253924772507 0.03890045093217733
0.4837238811277204 0.8133514200355769 0.8650169428309684 0.03890045093217733
0.8324049694409448 0.4689246152225335 0.7241590813461496 0.03890045093217733
0.2380170671006699 0.03469823704329027 0.9369152218559492 0.03890045093217733
0.9800428528541985 0.6437867323285746 0.3668784478461357 0.03890045093217733
0.3789734852891364 0.9637228196679201 0.8128804967007953 0.03890045093217733
0.7798592777264876 0.834505356341209 0.9011730680601128 0.03890045093217733
0.8199826794161763 0.8149307790606811 0.7649544994974077 0.03890045093217733
0.9860355288744622 0.3880456658756505 0.6951171967569612 0.03890045093217733
0.1981903480796916 0.6181562931072817 0.7292613898325331 0.03890045093217733
0.9172411083259309 0.2792817407859741 0.2997027391633004 0.03890045093217733
0.9985482630054699 0.9279929908312344 0.3624938143313058 0.03890045093217733
0.3073042503522797 0.07051237098818385 0.9418810869308823 0.03890045093217733
0.8020863789821563 0.3618277536169043 0.4960100951542205 0.03890045093217733
0.2741327781815531 0.1427375592500066 0.4968875589611032 0.03890045093217733
0.1318239042330656 0.4726667946063066 0.6811745858932849 0.03890045093217733
0.2300803957598537 0.2185725090962903 0.1420684422157715 0.03890045093217733
0.08423327880490175 0.2707654969388301 0.7420896885213731 0.03890045093217733
0.4100590907788255 0.1031735715037306 0.8708481690084644 0.03890045093217733
0.304952404924797 0.8866558883701557 0.1172382379631461 0.03890045093217733
