3
1000 1
1000
0.1069845455067399
1 0 0 0 1 0 0 0 1
T T T
0.9194651779403142 0.3808882669414177 0.2741039255021228 
0.8288559331782438 0.5882782460617864 0.9275899025093994 
0.04376353307850414 0.6642184530457389 0.5438289326069865 
0.9270206951320753 0.009198525891171705 0.5262636591564583 
0.9284984229464637 0.2879532394030183 0.8227869716957662 
0.1507112404190031 0.1424462013416847 0.5712213919023853 
0.3733756643547823 0.4435996961165099 0.5595663599648636 
0.8645433228325959 0.2994766695779341 0.3185118963358099 
0.7628610439946665 0.9475370886852031 0.8786398074705722 
0.3013124985391218 0.6902167070700962 0.1007178575061576 
0.4867154055055639 0.1282376344112997 0.9902579925773343 
0.004968887091024465 0.02922037399069584 0.9084031483283262 
0.2580636454317232 0.01539735525807464 0.2247031289932856 
0.2049024817731548 0.4999655004316315 0.9975449986909949 
0.7516579034929649 0.9298279459956014 0.5689228289291323 
0.7368697464803134 0.6970928488530483 0.1621832032569303 
0.9135620338881043 0.1751920990554549 0.9737318440503322 
0.2345169405701404 0.1904581211222935 0.3365982313348612 
0.2492736363257035 0.4104467281224831 0.9592921159236296 
0.6480676113286299 0.7790527043484865 0.3896200299307765 
0.5017050883349163 0.2494206527486947 0.9868569984088288 
0.6002910226906237 0.07001079213692658 0.5927155231570238 
0.8395011243608911 0.9293185124058019 0.7002869123716982 
0.9700557555566737 0.8898987895335266 0.1615016170143708 
0.04034398289247332 0.8098910666111869 0.2025070332452 
0.507636718548354 0.3613811027610852 0.6947311530245923 
0.6378241332332948 0.4323921540441267 0.3453581112171559 
0.8317020677051913 0.5802397118246505 0.6167484436608686 
0.9389926060855966 0.8407410486268053 0.2513030102826649 
0.8204845069958198 0.9908347275290412 0.2745490838688662 
0.9793476193235547 0.9065980137486579 0.8402693306326873 
0.0263233877864754 0.9856610260029764 0.7856066353965249 
0.09872001808193304 0.01290623976860557 0.8595127868949833 
0.4201709350156347 0.2179192331800313 0.3926256408450869 
0.1017168660794114 0.5242913321366244 0.6254101055003922 
0.7325571690811284 0.7895038458838749 0.1001487257172965 
0.9120159137646653 0.284305581547544 0.6130723652593523 
0.1043364172208412 0.5178803412440595 0.9260232867850035 
0.1129102234875078 0.58363883670203 0.5307387219037033 
0.03147541315226747 0.5330772486683809 0.1248007777673177 
0.6787908883922119 0.1479346260811207 0.03628543198393353 
0.3675908820354122 0.8416718941965374 0.4130982589062213 
0.6925799816583893 0.6571818030868539 0.5955486129122187 
0.9885780541406447 0.06191416475126479 0.7163914096198938 
0.8462047594834368 0.4439802080944021 0.3253991276429314 
0.3898570488319641 0.9592632724128483 0.7909867706468934 
0.6231448536274475 0.1719656048949986 0.8312629485710662 
0.125405534119933 0.4658719832091314 0.06050181225853476 
0.7910845251018273 0.499354418886067 0.9776736842902352 
0.1054140511548552 0.2629557136468237 0.9828999806204284 
0.7962524499412241 0.4310013089502166 0.5076717222929491 
0.822355563381047 0.6530660780330473 0.1125046083904325 
0.4954363590583317 0.3598153973127651 0.1241731017657539 
0.7289589802641318 0.05407026628237034 0.02540712808684881 
0.02030233243238087 0.1390793964595058 0.3627968410554079 
